Apple MacBook Air 13.3" Rose Gold A1932 Touch ID w/Original Box BROKEN SCREEN,ILS 1,088.41
Apple MacBook Air Touch ID 2018 13" Laptop 1.6GHz 256GB SSD 8GB RAM Space Gray,ILS 2,173.49
Apple 2018 13 in MacBook Air 1.6GHz i5 8GB RAM 256GB SSD IUG617,ILS 1,394.57
NICE 13" Apple MacBook Air 2018 TOUCH ID 1.6GHz i5 16GB RAM 256GB SSD + WNTY!,ILS 2,035.70
Apple 2018 13 in MacBook Air 1.6GHz Dual-Core i5 16GB RAM 128GB SSD IUG617,ILS 1,530.63
MacBook Air 13 Space Gray 2018 MRE82LL/A 1.6GHz i5 16GB 256GB Good - Missing Key,ILS 1,574.81
Apple MacBook Air Touch ID 2018 13" Laptop 1.6GHz 128GB SSD 8GB RAM Space Gray,ILS 1,935.39
Apple 2018 MacBook Air 13 in 1.6GHz i5 8GB RAM 256GB SSD IUG617,ILS 1,530.63
MacBook Air 13" 2018 A1932 1.6Ghz i5 8gb 121gb HD AC not Included READ,ILS 1,006.64
Apple MacBook Air 13" 2018 Retina, i5 1.6GHz, 8GB RAM, 128GB SSD (Rose Gold),ILS 952.36
Apple MacBook Air Retina 13” 2018 1.6GHz Core i5 8GB RAM 255GB SSD For Parts,ILS 1,155.69
Apple MacBook Air 13.3" 2018 (128GB SSD, Intel Core i5),ILS 969.40
Apple MacBook Air 13" (128GB SSD, Intel Core i5, 1.6GHz 8GB) - Laptop - Silver,ILS 1,204.09
SLIM 13" Apple MacBook Air 2018 TOUCH ID 1.6GHz i5 16GB RAM 256GB SSD + WNTY!,ILS 1,877.54
Apple MacBook Air 13" Space Gray i5 1.6GHz 16GB 256GB SSD Big Sur MRE82LL/A L/C,ILS 1,751.68
Apple MacBook Air 13" 2018 Space Gray i5 16GB 128GB SSD Big Sur MRE82LL/A - L/B,ILS 1,802.71
Apple MacBook Air 2018 13.3" i5 128GB - MREE2LL/A (See Description ),ILS 1,162.94
Apple MacBook Air 13 TOUCH ID 2018 Retina Laptop 3.6GHz i5 16GB 256GB SSD,ILS 2,547.65
Apple 13" MacBook Air 2018 1.6GHz Core i5 128GB SSD 16GB A1932 MRE82LL/A-BTO,ILS 1,785.73
MacBook Air 2018 13" RETINA 1.6 GHz i5 256GB SSD 16GB RAM  Silver B Grade,ILS 1,530.63
Apple 13" MacBook Air 2018 1.6GHz Core i5 128GB SSD A1932 Charger Case *BUNDLE*,ILS 1,989.82
MacBook Air 13 Space Gray 2018 MRE82LL/A* 1.6GHz i5 16GB 256GB SSD - Good,ILS 1,598.62
MacBook Air 13 Space Gray 2018 MRE82LL/A* 1.6GHz i5 16GB 512GB Good Condition,ILS 1,547.60
Apple MacBook Air (2015) 13.3 LCD i7 8GB RAM 128GB SSD Silver Good Condition,ILS 1,122.29
Apple MacBook Air Touch ID 2018 13" Laptop 128GB SSD 16GB RAM Space Gray w/Box,ILS 2,139.48
Apple 13" MacBook Air 2018 1.6GHz Core i5 256GB SSD 16GB A1932 MRE92LL/A-BTO,ILS 1,867.37
Apple MacBook Air 13.3" Retina Core i5 1.6GHz 128GB SSD 8GB RAM French Keyboard,ILS 4,081.50
Apple MacBook Air 13" Early 2015 Core i5 1.6GHz 8GB RAM 256GB SSD A1466,ILS 326.53
Apple MacBook Air 7,2 13" 2015 i5-5250U 1.6GHz 8GB 256GB SSD Catalina A1466,ILS 765.28
Apple MacBook Air 2018 Space Gray 13" Touch ID 128GB SSD 8GB RAM 1.6GHz Tested,ILS 1,666.68
Apple MacBook Air 13.3-inch (Retina, Silver) 1.6GHz i5 2018 8 GB RAM 256 GB SSD,ILS 986.40
Apple 2018 13 in MacBook Air 1.6GHz i5 16GB 128GB SSD SG,ILS 1,700.70
Apple A1466 Macbook Air MJVE2LL/A 13.3" i5-5250U @ 1.6GHz - 8GB RAM - 256GB SSD,ILS 1,020.25
Apple MacBook Air 13.3" Rose Gold A1932 Touch ID w/Original Box BROKEN SCREEN,ILS 1,088.41
Apple MacBook Air Touch ID 2018 13" Laptop 1.6GHz 256GB SSD 8GB RAM Space Gray,ILS 2,173.49
Apple 2018 13 in MacBook Air 1.6GHz i5 8GB RAM 256GB SSD IUG617,ILS 1,394.57
NICE 13" Apple MacBook Air 2018 TOUCH ID 1.6GHz i5 16GB RAM 256GB SSD + WNTY!,ILS 2,035.70
Apple 2018 13 in MacBook Air 1.6GHz Dual-Core i5 16GB RAM 128GB SSD IUG617,ILS 1,530.63
MacBook Air 13 Space Gray 2018 MRE82LL/A 1.6GHz i5 16GB 256GB Good - Missing Key,ILS 1,574.81
Apple MacBook Air Touch ID 2018 13" Laptop 1.6GHz 128GB SSD 8GB RAM Space Gray,ILS 1,935.39
Apple 2018 MacBook Air 13 in 1.6GHz i5 8GB RAM 256GB SSD IUG617,ILS 1,530.63
MacBook Air 13" 2018 A1932 1.6Ghz i5 8gb 121gb HD AC not Included READ,ILS 1,006.64
Apple MacBook Air 13" 2018 Retina, i5 1.6GHz, 8GB RAM, 128GB SSD (Rose Gold),ILS 952.36
Apple MacBook Air Retina 13” 2018 1.6GHz Core i5 8GB RAM 255GB SSD For Parts,ILS 1,155.69
Apple MacBook Air 13.3" 2018 (128GB SSD, Intel Core i5),ILS 969.40
Apple MacBook Air 13" (128GB SSD, Intel Core i5, 1.6GHz 8GB) - Laptop - Silver,ILS 1,204.09
SLIM 13" Apple MacBook Air 2018 TOUCH ID 1.6GHz i5 16GB RAM 256GB SSD + WNTY!,ILS 1,877.54
Apple MacBook Air 13" Space Gray i5 1.6GHz 16GB 256GB SSD Big Sur MRE82LL/A L/C,ILS 1,751.68
Apple MacBook Air 13" 2018 Space Gray i5 16GB 128GB SSD Big Sur MRE82LL/A - L/B,ILS 1,802.71
Apple MacBook Air 2018 13.3" i5 128GB - MREE2LL/A (See Description ),ILS 1,162.94
Apple MacBook Air 13 TOUCH ID 2018 Retina Laptop 3.6GHz i5 16GB 256GB SSD,ILS 2,547.65
Apple 13" MacBook Air 2018 1.6GHz Core i5 128GB SSD 16GB A1932 MRE82LL/A-BTO,ILS 1,785.73
MacBook Air 2018 13" RETINA 1.6 GHz i5 256GB SSD 16GB RAM  Silver B Grade,ILS 1,530.63
Apple 13" MacBook Air 2018 1.6GHz Core i5 128GB SSD A1932 Charger Case *BUNDLE*,ILS 1,989.82
MacBook Air 13 Space Gray 2018 MRE82LL/A* 1.6GHz i5 16GB 256GB SSD - Good,ILS 1,598.62
MacBook Air 13 Space Gray 2018 MRE82LL/A* 1.6GHz i5 16GB 512GB Good Condition,ILS 1,547.60
Apple MacBook Air (2015) 13.3 LCD i7 8GB RAM 128GB SSD Silver Good Condition,ILS 1,122.29
Apple MacBook Air Touch ID 2018 13" Laptop 128GB SSD 16GB RAM Space Gray w/Box,ILS 2,139.48
Apple 13" MacBook Air 2018 1.6GHz Core i5 256GB SSD 16GB A1932 MRE92LL/A-BTO,ILS 1,867.37
Apple MacBook Air 13.3" Retina Core i5 1.6GHz 128GB SSD 8GB RAM French Keyboard,ILS 4,081.50
Apple MacBook Air 13" Early 2015 Core i5 1.6GHz 8GB RAM 256GB SSD A1466,ILS 326.53
Apple MacBook Air 7,2 13" 2015 i5-5250U 1.6GHz 8GB 256GB SSD Catalina A1466,ILS 765.28
Apple MacBook Air 2018 Space Gray 13" Touch ID 128GB SSD 8GB RAM 1.6GHz Tested,ILS 1,666.68
Apple MacBook Air 13.3-inch (Retina, Silver) 1.6GHz i5 2018 8 GB RAM 256 GB SSD,ILS 986.40
Apple 2018 13 in MacBook Air 1.6GHz i5 16GB 128GB SSD SG,ILS 1,700.70
Apple A1466 Macbook Air MJVE2LL/A 13.3" i5-5250U @ 1.6GHz - 8GB RAM - 256GB SSD,ILS 1,020.25
Apple MacBook Air 13.3" Rose Gold A1932 Touch ID w/Original Box BROKEN SCREEN,ILS 1,088.41
Apple MacBook Air Touch ID 2018 13" Laptop 1.6GHz 256GB SSD 8GB RAM Space Gray,ILS 2,173.49
Apple 2018 13 in MacBook Air 1.6GHz i5 8GB RAM 256GB SSD IUG617,ILS 1,394.57
NICE 13" Apple MacBook Air 2018 TOUCH ID 1.6GHz i5 16GB RAM 256GB SSD + WNTY!,ILS 2,035.70
Apple 2018 13 in MacBook Air 1.6GHz Dual-Core i5 16GB RAM 128GB SSD IUG617,ILS 1,530.63
MacBook Air 13 Space Gray 2018 MRE82LL/A 1.6GHz i5 16GB 256GB Good - Missing Key,ILS 1,574.81
Apple MacBook Air Touch ID 2018 13" Laptop 1.6GHz 128GB SSD 8GB RAM Space Gray,ILS 1,935.39
Apple 2018 MacBook Air 13 in 1.6GHz i5 8GB RAM 256GB SSD IUG617,ILS 1,530.63
MacBook Air 13" 2018 A1932 1.6Ghz i5 8gb 121gb HD AC not Included READ,ILS 1,006.64
Apple MacBook Air 13" 2018 Retina, i5 1.6GHz, 8GB RAM, 128GB SSD (Rose Gold),ILS 952.36
Apple MacBook Air Retina 13” 2018 1.6GHz Core i5 8GB RAM 255GB SSD For Parts,ILS 1,155.69
Apple MacBook Air 13.3" 2018 (128GB SSD, Intel Core i5),ILS 969.40
Apple MacBook Air 13" (128GB SSD, Intel Core i5, 1.6GHz 8GB) - Laptop - Silver,ILS 1,204.09
SLIM 13" Apple MacBook Air 2018 TOUCH ID 1.6GHz i5 16GB RAM 256GB SSD + WNTY!,ILS 1,877.54
Apple MacBook Air 13" Space Gray i5 1.6GHz 16GB 256GB SSD Big Sur MRE82LL/A L/C,ILS 1,751.68
Apple MacBook Air 13" 2018 Space Gray i5 16GB 128GB SSD Big Sur MRE82LL/A - L/B,ILS 1,802.71
Apple MacBook Air 2018 13.3" i5 128GB - MREE2LL/A (See Description ),ILS 1,162.94
Apple MacBook Air 13 TOUCH ID 2018 Retina Laptop 3.6GHz i5 16GB 256GB SSD,ILS 2,547.65
Apple 13" MacBook Air 2018 1.6GHz Core i5 128GB SSD 16GB A1932 MRE82LL/A-BTO,ILS 1,785.73
MacBook Air 2018 13" RETINA 1.6 GHz i5 256GB SSD 16GB RAM  Silver B Grade,ILS 1,530.63
Apple 13" MacBook Air 2018 1.6GHz Core i5 128GB SSD A1932 Charger Case *BUNDLE*,ILS 1,989.82
MacBook Air 13 Space Gray 2018 MRE82LL/A* 1.6GHz i5 16GB 256GB SSD - Good,ILS 1,598.62
MacBook Air 13 Space Gray 2018 MRE82LL/A* 1.6GHz i5 16GB 512GB Good Condition,ILS 1,547.60
Apple MacBook Air (2015) 13.3 LCD i7 8GB RAM 128GB SSD Silver Good Condition,ILS 1,122.29
Apple MacBook Air Touch ID 2018 13" Laptop 128GB SSD 16GB RAM Space Gray w/Box,ILS 2,139.48
Apple 13" MacBook Air 2018 1.6GHz Core i5 256GB SSD 16GB A1932 MRE92LL/A-BTO,ILS 1,867.37
